ChatGPT-vel,csetdzsípítí-vel,tʃ æ tdʒ iː p iː t iː
ChatGPT,csetdzsípít,tʃ æ tdʒ iː p iː
chatgpt-ztem,csetgptzítem,tʃ æ t ɡ p t z iː t ɛ m
AI,éáj,eɪ aɪ
Ketamin,ketámin,k ɛ t ɑː m i
mikroadagolt,mikródegált,m ɪ k ɹ oʊ d æ ɡ ɑː l
techguruk,tekguruk,t ɛ k ɡ j ʊɹ ɹ ʌ k
ketamint,keramint,k ɛ ɾ ɐ m ɪ n
AI-jal,éájal,eɪ aɪ dʒ æ l
Azta,azta,æ z t ə
Techületet,tekületet,t ɛ h y l ɛ t ɛ
AI-vezérelt,áivezérelt,ɑː i v ɛ z eː r ɛ l
AI-platformunk,éjájplatformunk,eɪ aɪ p l æ t f ɔːɹ m
kannabisz,kanabisz,k æ n ɐ b ɪ s z
Techület,tekület,t ɛ h y l ɛ
kannabiszt,kanabiszt,k æ n ɐ b ɪ s z
chatgpt-zz,csetgptzz,tʃ æ t ɡ p t z iː z iː
techiparról,tekiparról,t ɛ k ɪ p ɑːɹ
Florida,florida,f l ɔː ɹ ɪ d ə
techipart,tekipart,t ɛ k ɪ p ɑːɹ
Apple,epöl,æ p əl
techvezértől,tekvezértől,t ɛ h v ɛ z eː r
nemtom,nemtöm,n ɛ m t ə m
Techülettől,tekülettől,t ɛ h y l ɛ t
AI-alapú,éájalapú,ɑː i ɑ l ɑ p uː
techplatform,tekplatform,t ɛ k p l ɐ t f ɔːɹ m
intelligenciavezérelt,inteligenciavezérelt,i n t ɛ l i ɡ ɛ n ts i ɑ v ɛ z eː r ɛ l
légyszi,légyszi,l eː ɟ s i
Marsh,mars,m ɑːɹ ʃ
Richard,ricsárd,ɹ ɪ tʃ ɚ d
Washingtonba,vasingtonba,w ɑː ʃ ɪ ŋ t ə n
Union,júnión,j uː n ɪ oʊ
Washington-emlékmű,vashingtonemlékmű,v ɑ ʃ h i n ɡ t o n ɛ m l eː k m yː
Capitolium,kapitólium,k æ p ɪ t oʊ l iə m
Lincoln-emlékmű,lincolnemlékmű,l i n ts o l n ɛ m l eː k m yː
cimbi,cimbi,s ɪ m b aɪ
Comedy,komedi,k ɑː m ə d i
Centralon,szentrálón,s ɛ n t ɹ ə l oʊ
sorizni,sorizni,s oː ɹ ɪ z n i
Anisha,anisha,æ n ɪ ʃ ə
on,on,oʊ
Luke,lúk,l uː k
Finnegan,finegán,f ɪ n ɛ ɡ ə
Dylan,dilen,d aɪ l ə
Sarah,szera,s ɛ ɹ ə
Barbara,barbara,b ɑːɹ b ə
Judy,dzsúdi,dʒ uː d i
Carl,kárl,k ɑːɹ l
DNS-emet,déenesemet,d iː ɛ n ɛ s ɪ m ɛ
Lancaster,lenkeszter,l æ ŋ k æ s t ɚ
Tommy,tommi,t ɑː m i
Cash,kes,k æ ʃ
Cottonel,kottonel,k ɑː ʔ n̩ əl
Murrow,mörrou,m ɜː ɹ oʊ
Casper,keszper,k æ s p ɚ
Cuttamel,kattamel,k ʌ ɾ eɪ m əl
though,dó,ð oʊ
Yo,jó,j oʊ
Temple,tempöl,t ɛ m p əl
Jackson,dzsekszon,dʒ æ k s oʊ
Chip,csip,tʃ ɪ p
Paul,pól,p ɔː l
Paulson,pólszon,p ɔː l s oʊ
Zap,zep,z æ p
Harvardjára,harvárdjára,h ɑ r v ɑ r ɟ aː
Trevor,trevor,t ɹ ɛ v ɚ
ACL-t,áklét,æ k əl
Seguras,szegurasz,s ɛ ɡ j ʊɹ ɹ ə z
siima,szíma,s ɪ ɪ m ə
Si,szí,s iː
Que,ke,k w ɛ
pas,pasz,p æ s
buenas,buenasz,b j uː ə n ə z
Passe,passz,p æ s
Mundantero,mundanteró,m ʌ n d ɐ n t ɛ ɹ oʊ
buenos,buenosz,b w eɪ n ɑː s
muenas,muenasz,m j uː ə n ə z
Cuiette,kuiett,k j uː ɪ ɛ t
Xylon,zájlon,z aɪ l oʊ
Manny,menni,m æ n i
Naimo,naimó,n eɪ m oʊ
Milana-t,milanát,m ɪ l ɑː n ə
Javet,dzsévet,dʒ eɪ v
Zam,zem,z æ m
Zamar,zamar,z æ m ɚ
Disney,dizni,d ɪ z n i
Moretti,moretti,m oːɹ ɾ i
Meriti,meriti,m ɛ ɹ iː ɾ i
Candy,kendi,k æ n d i
Zoe,zói,z oʊ i
Addy,eddi,æ d i
Annette,anett,æ n ɛ t
Bruck,bruck,b ɹ ʌ k
River,river,ɹ ɪ v ɚ
Tyson,tájszon,t aɪ s oʊ
Ben,ben,b iː
Shelton,selton,ʃ ɛ l t oʊ
Grady,grédi,ɡ ɹ eɪ d i
Tammy-nek,temminek,t æ m i
bolo,boló,b oʊ l oʊ
allure-t,allúrt,ɐ l ʊɹ
Southern-nek,szádernnek,s ʌ ð ɚ n
Calin,kalin,k ɑː l i
Seth,szet,s ɛ θ
AMP-t,empét,æ m p
Chet,cset,tʃ iː
Fulton,fulton,f ʊ l t oʊ
Sheriff,serif,ʃ ɛ ɹ ɪ f
Jim,dzsim,dʒ ɪ m
Bell,bel,b ɛ l
Lily,lili,l ɪ l i
Phil,fil,f ɪ l
Chuck,csak,tʃ ʌ k
Cheese-ben,csízben,tʃ iː z
Todd,todd,t ɑː d
Monk,monk,m ʌ ŋ k
Alzheimer,álchájmer,ɑː l t s h aɪ m ɚ
Jack,dzsekk,dʒ æ k
Kuhn,kun,k ʌ
Chad,csed,tʃ æ d
Mexikóba,mexikóba,m ɛ k s i k oː
Daniel,daniel,d æ n j əl
Lockhart,lokhart,l ɑː k h ɑːɹ
dr,doktor,d ɑː k t ɚ
Harvardon,harvárdon,h ɑːɹ v ɑːɹ d oʊ
Hofstra,hofsztra,h ɑː f s t
Gracie,grészi,ɡ ɹ eɪ s i
Clark,klárk,k l ɑːɹ k
Grace,grész,ɡ ɹ eɪ s
Looks,luksz,l ʊ k s
Mandy's,mendíz,m æ n d i z
Organic,orgenik,ɔːɹ ɡ æ n ɪ k
flank,flenk,f l æ ŋ k
Cosh,kos,k ɑː ʃ
Jimet,dzsimet,dʒ aɪ m
Neckben,nekben,n ɛ k
Heller,heller,h ɛ l ɚ
Idabelle,ájdébel,aɪ d eɪ b ɛ l
851B,nyolcszázötvenegybé,ɲ o l ts s aː zø t v ɛ n ɛ ɟb eː
Mary,meri,m ɛ ɹ i
Starr,sztár,s t ɑːɹ
Travaney,trevéni,t ɹ æ v eɪ n i
Corp,korp,k oːɹ p
DC-be,díszíbe,d iː s iː
USA-ban,júeszéjben,j uː ɛ s eɪ
USA-nak,júeszéjnek,j uː ɛ s eɪ
Sherman,sörmen,ʃ ɜː m ə
Ehrman,érmen,eɪ ə m ə
Colville,kolvill,k ɑː l v ɪ l
Carrera,karrera,k ɑːɹ
Muakatir,muakatir,m j uː ɐ k æ ɾ ɪɹ
Adjudate,edzsudét,ɐ dʒ uː d eɪ t
deurativa,deuratíva,d j uː ɹ ɐ t ɪ v ə
Kotasa,kotasza,k ə t ɑː s ə
Gambarinara,gambarinara,ɡ æ m b ɑːɹ ɹ iː n ə
Conojoga,konodzsoga,k ɑː n ə dʒ oʊ ɡ ə
uster,aszter,ʌ s t ɚ
Londonban,londonban,l ʌ n d ə n
I'm,ájm,aɪ m
telling,telling,t ɛ l ɪ ŋ
you,jú,j uː
love,láv,l ʌ v
Luke-kal,lúkkal,l uː k k æ l
Kate-et,kéjtet,k eɪ t iː
Kate,kéjt,k eɪ t
Bush,bus,b ʊ ʃ
Cindy,szindi,s ɪ n d i
Lawburt,lóbert,l ɔː b ɜː
Devo-t,devót,d ɪ v oʊ
Angela,endzsela,æ n dʒ ə l ə
1A,egyá,ɛ ɟ ɑː
Guardian,gárdian,ɡ ɑːɹ d i ə
Karbamezepin,karbamezepin,k ɑːɹ b eɪ m z ɛ p i
PSI,pszí,s aɪ
Trihidroklorid,trihidroklorid,t ɹ aɪ h ɪ d ɹ ɑː k l oː ɹ ɪ d
Yankee,jenkí,j æ ŋ k iː
YTS,itsz,ɪ t s
SCI,eszíáj,s aɪ
Vanguard,vengárd,v æ ŋ ɡ ɑːɹ d
Malik,malik,m æ l ɪ k
Swivi,szvivi,s w ɪ v i
Anna,anna,æ n ə
Got,got,ɡ oʊ
Travante,travante,t ɹ æ v ɑː n t eɪ
Jeffy,dzsefi,dʒ ɛ f i
Melvie,melvi,m ɛ l v i
Zero,zíró,z iə ɹ oʊ
aritmikusak,aritmikusak,æ ɹ ɪ t m ɪ k j uː s æ k
Want,vant,w æ n
Luke-ot,lúkot,l uː k oʊ
How,hau,h aʊ
It's,icc,ɪ t s
up,ap,ʌ p
tell,tel,t ɛ l
David,dévid,d eɪ v ɪ d
Voider,vojder,v ɔɪ d ɚ
seven,szeven,s iː v
Gaspard,gaspard,ɡ æ s p ɚ d
Johnny,dzsoni,dʒ ɑː n i
Cash-t,kest,k æ ʃ
Stone,szton,s t oʊ n
Age-be,édzsbe,eɪ dʒ
Aneesha,anísa,æ n iː ʃ ə
Lukey,lúki,l uː k i
Ahmed,ahmed,æ x m ɛ d
J-Judy,dzséjdcsúdi,dʒ eɪ dʒ uː d i
Drain,dréjn,d ɹ aɪ
ANGLIA,anglia,æ ŋ ɡ l i ə
DNS-emben,déenesemben,d iː ɛ n ɛ s ɛ m
Alfie,elfi,æ l f i
lancasteri,lenkeszteri,l æ ŋ k ɐ s t ɚ ɹ i
baszki,baszki,b æ s z k i
Casp,keszp,k æ s p
Cuttermill,kattermill,k ʌ ɾ ɚ m ɪ l
Morrow,morrou,m ɑː ɹ oʊ
Caspar,keszpár,k æ s p ɑːɹ
Mizu,mizu,m ɪ z uː
Sweet,szvít,s w iː
and,end,æ n d
Action,eksön,æ k t ɪ oʊ
burgert,börgert,b ɜː ɡ ɚ
Paulsonnak,pólszonnak,p ɔː l s ə n
Daesh,daes,d iː ʃ
Madden,meden,m æ d
Harvardra,harvárdra,h ɑːɹ v ɚ d
When,ven,w iː
Come,kám,k ʌ m
Around,eraund,ɚ ɹ aʊ n d
Chavez,csávez,tʃ ɑː v ɛ z
Trevante,trevante,t ɹ ᵻ v æ n t
Wajo,vadzsó,w ɑː dʒ oʊ
Tammynek,temminek,t æ m i
Suthers,szádersz,s ʌ ð ɚ z
methlabor,metlabor,m ɛ θ l æ b ɚ
Griffint,grifint,ɡ ɹ ɪ f ɪ n
Clarke,klárk,k l ɑːɹ k
Clarke-ügy,klárk-ügy,ts l ɑ r k ɛ y ɟ
Gracie-ék,grésziék,ɡ r ɑ ts i ɛ eː k
Jimmel,dzsimmel,dʒ ɪ m əl
Mandy,mendi,m æ n d i
Great,grét,ɡ ɹ iə
Neck-i,nekki,n ɛ k aɪ
Mary-Star,merisztár,m ɛ ɹ i s t ɑːɹ
Idabel,ájdebel,aɪ d eɪ b əl
Disney-filmet,diznifilmet,d ɪ z n i f ɪ l m i
Zemar,zemar,z ɛ m ɚ
Maretti,maretti,m ɚ ɹ ɛ ɾ i
Cole,kól,k oʊ l
Monty,monti,m ɔ n t i
chipsem,csipszem,tʃ ɪ p s ə m
WC-t,vécét,d ʌ b əl j uː s iː
yak,jak,j æ k
Stephen,sztyiven,s t ɛ f
Hawking,hóking,h ɔː k ɪ ŋ
Fortnite-kör,fortnájtkör,f o r t n i t ɛ k ø r
São,szan,ʃ ɑ o
Paulo,paulo,p ɔː l oʊ
chipset,csipszet,tʃ ɪ p s
Biggie,bigi,b ɪ ɡ i
Westminster,vesztminszter,w ɛ s t m ɪ n s t ɚ
US,júesz,j uː ɛ s
North,norsz,n ɔːɹ θ
Dishu,disu,d ɪ s h uː
Orion,orion,oː ɹ ɪ oʊ
Oranoos,oranúsz,oː ɹ ɐ n uː z
Rah,rá,ɹ ɑː
Edwardsszal,edvárdsszal,ɛ d w ɚ d s z əl
Edwardsnak,edvárdsznak,ɛ d w ɚ d z
nyomik,nyomik,n aɪ ə m ɪ k
Putin,putyin,p j uː ɾ i
Blair,bler,b l ɛɹ
Clinton,klinton,k l ɪ n t oʊ
Kaito,kaitó,k aɪ ɾ oʊ
Yamato-szan,jamatószan,j æ m ɑː ɾ oʊ ʃ ɑː
Mitsuki,micuki,m ɪ t s uː k i
New,nyú,n uː
Yorkot,jorkot,j ɔːɹ k oʊ
Londont,londont,l ʌ n d ə n
Hoshit,hosit,h oʊ ʃ i
Hinata,hinata,h ɪ n ɑː ɾ ə
Edwards,edvárdsz,ɛ d w ɚ d z
Tesco,teszkó,t ɛ s k oʊ
Bostonnak,bostonnak,b ɔ s t ə n
Jayden,dzséjden,dʒ eɪ d
Beckett,bekett,b ɛ k ɪ t
Madison,mediszon,m æ d aɪ z oʊ
Theo,teó,θ iː oʊ
Poppy,poppi,p ɑː p i
Darwin,dárvin,d ɑːɹ w i
Sarah-ra,szerára,s ɛ ɹ ə
gen,dzsín,dʒ iː
JASA-nak,dzsaszának,dʒ ɑː s ə
Saxo,szaxó,s æ k s oʊ
Clemons,klemonz,k l ɛ m ə n z
Vantage,ventidzs,v æ n t ɪ dʒ
Billt,billt,b ɪ l
Jamila,dzsamila,dʒ æ m ɪ l ə
Alf,alf,æ l f
Barton,bárton,b ɑːɹ ɾ oʊ
trentoni,trentoni,t ɹ ɛ n t oʊ n i
St,szent,ɛ s
Mary'sből,meriszből,m ɑ r i ʃ b øː l
York-i,jorki,j ɔːɹ k aɪ
gebasz,gebasz,dʒ ɛ b æ s z
NATO-bázis,nátóbázis,n aː t oː b aː z i ʃ
Travis-tábor,travisztábor,t r ɑ v i ʃ t aː b o r
NATO-BÁZI,nátóbázi,n aː t oː b aː z i
Alimuradov,alimuradov,æ l ɪ m j ʊɹ ɹ ɐ d ɑː v
sztentekkel,sztentekkel,ʃ t ɛ n t
Skittlest,szkittleszt,s k ɪ ɾ əl z
Cayuga,kajuga,k eɪ uː ɡ ə
Chautauqua,csotokva,tʃ ɔː ɾ ɔː k w ə
Chemung,semang,k ɛ m ʌ ŋ
Columbia,kolumbia,k ə l ʌ m b iə
Cortland,kortland,k ɔːɹ t l ə n d
Delaware,delaver,d ɛ l ɑː w ə
Dutchess,daccsesz,d ʌ tʃ ɛ s
Erie,íri,iə ɹ i
Essex,esszeksz,ɛ s ɪ k s
Lewis,luisz,l uː ɪ s
Livingston,livingszton,l ɪ v ɪ ŋ s t oʊ
Monroe,monró,m ɔ n ɹ oʊ
Montgomery,montgomeri,m ɑː n t ɡ ɑː m ɚ ɹ i
Nassau,nasszau,n æ s aʊ
York,jork,j ɔːɹ k
Niagara,niagara,n aɪ ə ɡ ə
Oneida,onajda,w ʌ n ɪ d ə
Onondaga,onondaga,ɑː n ə n d ɑː ɡ ə
Ontario,ontárió,ɑː n t æ ɹ ɪ oʊ
Orange,orindzs,ɔ ɹ ɪ n dʒ
Orleans,orlinsz,ɔːɹ l iə n z
Oswego,oszvígó,ɑː s w iː ɡ oʊ
Otsego,otszígó,ɑː t s iː ɡ oʊ
Putnam,patnem,p ʌ t n ɑː m
Queens,kvínz,k w iː n z
Rensselaer,renszeler,ɹ ɛ n s ɪ l ɛɹ
Richmond,ricsmond,ɹ ɪ tʃ m ə n d
Rockland,rokland,ɹ ɑː k l ə n d
Lawrence,lorenz,l ɔː ɹ ə n s
Saratoga,szaratoga,s æ ɹ ɐ t oʊ ɡ ə
Schenectady,szkenektedi,ʃ ɛ n ɪ k t æ d i
Schoharie,szkohéri,s k oʊ h eɪ ɹ i
Schuyler,szkájlör,ʃ aɪ l ɚ
Seneca,szeneka,s ɛ n ɛ k ə
Steuben,sztyúben,s t j uː
Suffolk,szafolk,s ʌ f ə k
Sullivan,szullivan,s ʌ l ɪ v ə
Tioga,tióga,t ɪ oʊ ɡ ə
Tompkins,tompkinsz,t ɑː m p k ɪ n z
Ulster,alszter,ʌ l s t ɚ
Kabulba,kabulba,k æ b ʌ l
Londonba,londonba,l ʌ n d ə n
Neil,níl,n iː l
John,dzson,dʒ oʊ
JASA-tól,dzsaszától,dʒ ɑː s ə
Yamato,jamató,j æ m ɑː ɾ oʊ
SST,eszeszti,ɛ s ɛ s
Systems,szisztemz,s ɪ s t ə m z
Hashimoto,hasimotó,h æ ʃ ɪ m oʊ ɾ oʊ
Kouda,kóda,k uː d ə
Kabul,kabul,k æ b ʌ l
Sahar,szahar,s æ h ɑːɹ
Ali,ali,ɑː l i
bin,bin,b aɪ
Pneumothorax,pneumotoraksz,n uː m ə θ oː ɹ æ k s
Humvee,hamví,h ʌ m v iː
Lockhartnak,lokhartnak,l ɑː k h ɑːɹ t
M4,emnégy,ɛ m mn eː ɟ
Washington,vasington,w ɑː ʃ ɪ ŋ t oʊ
Virginia,virdzsinia,v ɜː dʒ ɪ n iə
Amerika,amerika,æ m ɚ ɹ ɪ k ə
TILO,tájló,t aɪ l oʊ
HOSHI,hosi,h oʊ ʃ i
Busht,bust,b ʊ ʃ
Cyndi,szindi,s ɪ n d i
Laupert,lópert,l ɔː p ɚ
Karbamazepin,karbamazepin,k ɑːɹ b ɐ m eɪ z ɛ p i
Hidrokloriddal,hidrokloriddal,h ɪ d ɹ ə k l oː ɹ ɪ d əl
TS,tíesz,t iː ɛ s
Jam,dzsem,dʒ æ m
Bowie,bóvi,b oʊ i
jedi,dzsedáj,dʒ ɛ d aɪ
BEORNWALD,beornvald,b eɪ oːɹ n w əl d
EEG,eegé,iː ɡ
T5,téöt,t eːø t
Hoshi-12,hoshitizenkettő,h o ʃ h it i z ɛ n k ɛ tː øː
Marsra,marzra,m ɑːɹ z
Murai-szan,murrájsán,m j ʊɹ ɹ aɪ ʃ ɑː
Meguru,megjurrú,m ɛ ɡ j ʊɹ ɹ uː
Sekivel,szekivel,s ɛ k i
The,dö,ð ə
Files,fájlsz,f aɪ l z
PDS,pídíesz,p iː d iː ɛ s
Sarfati,szarfati,s ɑːɹ f ɑː ɾ i
Nobel-díjasoktól,nobel-díjasoktól,n o b ɛ l d iː j ɑ ʃ o k
CIA,szíájéj,s iː aɪ eɪ
hookies,hukiz,h ʊ k i z
lines-ról,lájnszról,l aɪ n z
Oliver,oliver,ɑː l ɪ v ɚ
Vegasban,végaszban,v eɪ ɡ ə s
Debt-t,dett,d ɛ t
BBB,bíbíbí,b iː b iː b iː
Google,gúgel,ɡ uː ɡ əl
TrustPilot,trasztpájlot,t ɹ ʌ s tp aɪ l oʊ
hitelkártyaadóssággal,hitelkártyaadóssággal,h i t ɛ l k aː r c ɑ ɑ d oː ʃ ʃ aː ɡː ɑ l
pdsdebt,pídíeszdebt,p iː d iː ɛ s d ɛ b
com,kom,k ɑː m
slash,szles,s l æ ʃ
PDSTEBT,pídíesztebt,p iː d iː s t ɛ b
Sarfatinak,szarfatinak,s ɑːɹ f ɑː ɾ i
Philip,filip,f ɪ l ɪ p
Corso,korszó,k ɔːɹ s oʊ
Jackre,dzsekkre,dʒ æ k
Mrs,misziz,m ɪ s ɪ z
Jacket,dzsekit,dʒ æ k i
Jacknek,dzsekknek,dʒ æ k
Walter,volter,w ɔ l t ɚ
Breen,brín,b ɹ iː
Xavier,zéviör,z eɪ v i ɚ
Albuquerque-ből,albukerkiből,ɑ l b u k v ɛ r k v ɛ b øː l
Új-Mexikóból,új-mexikóból,uː j m ɛ k s i k oː b oː l
UFO-k,ufók,j uː ɛ f oʊ k eɪ
X-Men,ikszmen,ɛ k s m iː
Consorta,konszorta,k ə n s ɔːɹ ɾ ə
Crip,krip,k ɹ ɪ p
Cornell-en,kornellen,k ɔːɹ n ɛ l iː
Hans,hansz,h æ n z
Bethe,béte,b ɛ ð
Morrison,moriszon,m ɔː ɹ aɪ z oʊ
Kenneth,kennet,k ɛ n ə θ
Grison,griszon,ɡ ɹ aɪ z oʊ
Stanfordi,sztenfordi,s t æ n f oːɹ d i
Jurij,jurij,dʒ ʊɹ ɹ ɪ dʒ
Stanford,sztenford,s t æ n f ɚ d
SRI-hez,eszárájhez,s ɹ iː
Brendan,brenden,b ɹ ɛ n d ə
O'Regan,órigen,oʊ ɹ ᵻ ɡ æ
Edgar,edgár,ɛ d ɡ ɚ
Mitchellnek,micselnek,m ɪ tʃ əl
Mitchell,micsel,m ɪ tʃ əl
menlo,menló,m ɛ n l oʊ
Harold,herold,h æ ɹ əl d
Pudoffal,putoffal,p j uː d ɔ f əl
Russell,rasszel,ɹ ʌ s əl
Targgal,targgal,t ɑːɹ ɡ əl
SRI-nél,eszárájnál,ʃ r i n eː l
Targot,targot,t ɑːɹ ɡ oʊ
Ingo,ingó,ɪ ŋ ɡ oʊ
Swann,szvann,s w ɑː n
Yuri,juri,j uː ɹ i
Pat,pet,p ɑː
Price,prájsz,p ɹ aɪ s
Gerald,dzserald,dʒ ɛ ɹ əl d
Kellynek,kellinek,k ɛ l i
George,dzsordzs,dʒ ɔːɹ dʒ
Koopman,kúpman,k uː p m ə
metaanyagok,metaanyagok,m ɛ ɾ ə æ n ɪ æ ɡ ɑː k
Einstein,ájnstájn,aɪ n s t eɪ
Tic-Tac,tiktak,t ɪ k t æ k
UFO-ról,ufóról,j uː ɛ f oʊ
anti-gravitációs,antigravitációs,ɑ n t i ɡ r ɑ v i t aː ts i oː ʃ
UFO,ufó,j uː ɛ f oʊ
metamaterialba,metametiriölbe,m ɛ ɾ ə m ə t ɪ ɹ i əl
Spearmint,szpírmint,s p ɪɹ m ɪ n
Jupiter,dzsúpiter,dʒ uː p ɪ ɾ ɚ
UFO-nak,ufónak,j uː ɛ f oʊ
4K,négyká,n eː ɟk aː
UFO-kat,ufókat,j uː ɛ f oʊ k ɑː
bootstrap-paradoxon,bútsztrepparadoxon,b uː t s t ɹ æ p p æ ɹ ə d ɑː k s oʊ
Grok,grok,ɡ ɹ ɑː k
Grokot,grokot,ɡ ɹ oʊ k oʊ
AI-nak,éjájnak,eɪ aɪ
Jackkel,dzsekkel,dʒ æ k
Vlagyimir,vlagyimir,v l æ dʒ ɪ ɪ m ɪɹ
Putyin,putyin,p j uː ɾ ɪ i
Manhattan,menhettn,m æ n h æ ɾ ə
Vic,vik,v ɪ k
Cornell,kornel,k ɔːɹ n ɛ l
PhD,píéjcsdí,p iː eɪ tʃd iː
UC,júszí,ʌ k
Riverside-on,riverszáldon,ɹ ɪ v ɚ s aɪ d oʊ
Nobel-díjasokkal,nobel-díjasokkal,n o b ɛ l d iː j ɑ ʃ o
Project,prodzsekt,p ɹ ə dʒ ɛ k
Brown,braun,b ɹ aʊ
UFO-król,ufókról,j uː ɛ f oʊ k eɪ
Putoff,putof,p j uː ɾ ɔ f
Swan,szvan,s w ɑː
NASA-nak,názának,n æ s ɐ
IQ-jú,Íkújú,i k v j uː
Yorkban,jorkban,j ɔːɹ k
UFO-előadások,ufóelőadások,u ɛ f f o ɛ l øː ɑ d
UFO-t,ufót,j uː ɛ f oʊ
pszichopédia,pszichopédia,p s i h o p eː d i ɑ
SRI-ről,eszárájról,s ɹ iː
Doty,doti,d oʊ ɾ i
Dodi,dodi,d oʊ d i
Putoffnak,putofnak,p j uː ɾ ɔ f
PSYOP,szájop,s aɪ ə p
